word,weight
八千,190.4156091035547
早鬼,166.42932659786354
兽王,164.83063805340888
吉吊,150.5624066001622
慧之子,139.55056551304085
畜生,134.9859831402796
骊驹,119.66163617223637
地狱,115.5895060142278
尤魔,101.07854703372577
饕餮,98.11520654185045
形兽,95.35418162672481
动物,95.09654964133546
三头,88.12978253902946
日白,85.66349366083304
天火,58.83919272854742
组织,57.72693801229168
人血枪,57.19407539268442
狭美,55.87103259108879
宝珠,55.15597063106428
地上,50.68709591968631
豫母,48.719047885937144
偶像,47.521582774073245
野阿,43.50080710746052
高丽,43.29039468208636
安神,39.38747354856885
灵长,32.900902886383086
残无,31.511397589436562
美天,30.256232911924492
支配,29.39880286708566
随后,28.135743848711233
